name,designation,ra,ra_err,dec,dec_err,w1_mean,w1_mean_err,w1_median,w1_median_err,w1_min,w1_min_err,w1_max,w1_max_err,w1_snr,w1_snr_min,w1_snr_max,w1_num_pts,w1_amplitude,w1_mean_w1_median,w1_M_value,w1_fap,w1_sde,w1_power,w1_period,w2_mean,w2_mean_err,w2_median,w2_median_err,w2_min,w2_min_err,w2_max,w2_max_err,w2_snr,w2_snr_min,w2_snr_max,w2_num_pts,w2_amplitude,w2_mean_w2_median,w2_M_value,w2_fap,w2_sde,w2_power,w2_period,w3_mean,w3_mean_err,w3_snr,w4_mean,w4_mean_err,w4_snr,w1_w2,delta_time,filter_flag,wiseview
2MASS J15200224-4422419,J152001.31-442247.90,230.00492147281557,0.04281359223300971,-44.38024707233009,0.044952912621359226,11.345,0.02,11.345,0.019,11.288,0.021,11.409,0.021,55.121,30.1,68.5,206,0.121,0.0,0.529,0.0010000000000000009,11.632987046803235,0.1255375400900006,0.14344084749759506,11.121,0.026,11.121,0.025,11.033,0.028,11.201,0.029,42.41,26.8,50.4,206,0.168,-0.0,0.476,0.0010000000000000009,12.216109082503724,0.15195619531056057,0.06462445493750231,10.697,0.288,4.075,7.664,,1.025,0.225,4552.8316250200005,AA,http://byw.tools/wiseview#ra=230.0054667&dec=-44.37997357&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
SDSS J151114.66+060742.9,J151114.42+060739.48,227.8097351665,0.1288145,6.1274682125,0.14280400000000001,13.711,0.048,13.71,0.046,13.577,0.058,13.842,0.066,23.159,12.0,27.2,103,0.265,0.001,0.498,0.013000000000000012,8.591277736963058,0.18675619658065318,0.24602875501552757,13.225,0.091,13.21,0.089,13.022,0.139,13.418,0.095,12.323,7.4,18.2,97,0.396,0.015,0.525,0.01100000000000001,9.114588342900566,0.2058880291156959,0.17735835780527853,11.294,0.463,0.867,7.596,,0.983,0.487,4547.41508662,AA,http://byw.tools/wiseview#ra=227.8100701&dec=6.127634205&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
SIMP J1501530-013506,J150152.77-013507.01,225.4697606414634,0.11714634146341465,-1.5855895146341465,0.12823048780487803,13.536,0.043,13.529,0.041,13.449,0.039,13.659,0.044,25.899,16.7,30.5,83,0.21,0.007,0.619,0.0050000000000000044,10.13258153277785,0.2344306459739033,0.15811070307256803,13.229,0.092,13.22,0.086,12.955,0.085,13.519,0.121,12.114,6.7,16.6,81,0.564,0.009,0.53,0.006000000000000005,8.490915856576269,0.23770542949031737,0.4296284688505586,11.063,,0.767,7.787,,0.4,0.307,4546.557592559999,AA,http://byw.tools/wiseview#ra=225.4698728&dec=-1.585279934&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
CFBDSIR J145829+101343,J145829.40+101340.37,224.62276228333334,1.1467166666666666,10.22771745,1.1809666666666667,16.826,0.341,16.904,nan,16.312,0.328,17.219,nan,0.35,-3.7,3.8,12,0.907,-0.078,0.347,1.0,nan,nan,4543.620683929999,14.614,0.322,14.592,nan,13.707,nan,15.205,0.429,3.367,1.9,5.0,12,1.498,0.021,0.409,0.646,nan,nan,4543.620683929999,11.14,,0.667,7.889,,0.1,2.212,4543.620683929999,BB,http://byw.tools/wiseview#ra=224.6225052&dec=10.22788009&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
Gl 569B,J145429.56+160602.05,223.62322788401556,0.03947836257309942,16.100595620077968,0.03737719298245614,4.891,0.059,4.834,0.056,4.077,0.081,5.839,0.021,21.085,5.7,75.2,253,1.762,0.057,0.57,0.0020000000000000018,9.413268527058792,0.28706323107306697,0.06646451183657531,5.077,0.019,5.105,0.016,4.416,0.014,5.769,0.015,67.633,13.8,194.1,260,1.353,-0.028,0.491,0.019000000000000017,8.024057323865927,0.1692299368800339,0.2407522005650358,5.431,0.014,80.598,5.332,0.063,17.481,-0.186,4543.467503990003,AA,http://byw.tools/wiseview#ra=223.6231722649271&dec=16.100568962035837&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
HD 130948BC,J145016.01+235441.76,222.56665590988703,0.03268531073446328,23.91195394322034,0.032455367231638416,3.511,0.094,3.475,0.078,1.916,0.023,4.944,0.044,16.851,3.2,118.7,181,3.028,0.036,0.485,0.03200000000000003,5.645076817330143,0.40468526486393924,0.04539093610851786,3.476,0.02,3.498,0.01,2.382,0.026,4.364,0.025,113.234,5.4,291.7,173,1.982,-0.022,0.437,0.0050000000000000044,9.185662803639062,0.1772988773662902,0.15728628840192854,4.461,0.013,86.092,4.423,0.041,28.111,0.035,4550.89525424,AA,http://byw.tools/wiseview#ra=222.5667&dec=23.9116&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASSW J1449378+235537,J144937.85+235537.92,222.40787220960854,0.17874697508896797,23.92729728540925,0.1978387900355872,14.176,0.06,14.18,0.058,14.023,0.059,14.354,0.094,18.332,11.6,23.6,142,0.331,-0.004,0.526,0.008000000000000007,9.078918970478975,0.1451178379836519,0.1482164474401164,13.947,0.162,13.936,0.152,13.545,0.153,14.445,0.252,7.094,3.6,10.4,139,0.9,0.011,0.566,0.014000000000000012,8.698812409459896,0.13519030683561106,0.04923640536488353,11.122,0.409,1.421,7.705,,0.742,0.23,4543.002092679999,AA,http://byw.tools/wiseview#ra=222.4077&dec=23.9272&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
DENIS-P J144137.2-094558,J144136.92-094559.43,220.40374567383176,0.06412757009345796,-9.766490378971962,0.0693392523364486,12.347,0.026,12.348,0.025,12.286,0.023,12.416,0.033,42.542,32.6,49.1,106,0.13,-0.001,0.523,0.0,9.357618055286157,0.2749992971545567,1.409589585290013,12.125,0.046,12.125,0.042,11.935,0.042,12.271,0.056,24.753,7.5,31.3,108,0.336,-0.0,0.433,0.013000000000000012,8.18212082338036,0.17263951652142387,0.0758877066120534,11.076,0.438,1.254,7.652,,0.533,0.222,4546.913125269995,AA,http://byw.tools/wiseview#ra=220.40383&dec=-9.766509481&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASSI J1430435+291540,J143043.33+291543.32,217.68047619690722,0.06258728522336769,29.26194643539519,0.06730549828178692,12.32,0.025,12.32,0.025,12.253,0.028,12.398,0.034,43.567,32.1,51.6,147,0.145,0.0,0.538,0.0010000000000000009,11.32938733636773,0.16564589632078025,0.09636436916120575,12.051,0.04,12.054,0.038,11.93,0.049,12.154,0.046,27.858,14.7,33.8,144,0.224,-0.003,0.444,0.0,12.015444841540202,0.20486034904350353,0.03370360744473655,10.994,0.364,2.444,7.753,,0.85,0.269,4541.916114510001,AA,http://byw.tools/wiseview#ra=217.6805429&dec=29.26203433&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASSI J1426316+155701,J142631.70+155700.49,216.63212120194177,0.0423116504854369,15.950067933495147,0.044604854368932044,11.455,0.02,11.454,0.019,11.41,0.025,11.505,0.021,55.326,42.7,63.2,104,0.095,0.001,0.537,0.0010000000000000009,9.67762965629671,0.2382316986630639,0.9961562322607866,11.255,0.027,11.252,0.027,11.2,0.025,11.324,0.028,40.502,28.2,47.9,102,0.124,0.003,0.581,0.0,10.40285412039358,0.22032865561623144,0.14987353186051605,10.742,0.304,3.7,7.692,,0.45,0.2,4366.285586829996,AA,http://byw.tools/wiseview#ra=216.632088&dec=15.95013504&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASS J14044941-3159329,J140449.86-315932.81,211.2079534649606,0.12496456692913385,-31.992641401574804,0.1408196850393701,13.805,0.049,13.807,0.048,13.703,0.043,13.95,0.049,22.236,15.1,26.1,130,0.247,-0.002,0.579,0.0050000000000000044,10.102928797200935,0.17102932627596876,0.17850918916705047,12.931,0.074,12.923,0.071,12.767,0.077,13.131,0.086,15.123,9.2,20.5,124,0.364,0.008,0.571,0.0030000000000000027,10.911499637229843,0.1919614410234129,0.07160162158181267,11.153,0.46,1.729,7.768,,0.42,0.874,4546.652849309998,AA,http://byw.tools/wiseview#ra=211.2077333&dec=-31.99244787&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASS J13411160-3052505,J134111.63-305253.29,205.29844641811596,0.07396847826086957,-30.881468748188404,0.08095398550724639,12.738,0.03,12.739,0.028,12.666,0.027,12.813,0.035,37.24,21.1,44.2,139,0.147,-0.001,0.503,0.0020000000000000018,9.517634079090465,0.1732988904311267,0.564764708138581,12.449,0.053,12.449,0.05,12.288,0.056,12.61,0.072,20.914,11.9,25.9,137,0.322,0.0,0.5,0.0010000000000000009,11.076658295206236,0.18168092710645706,0.14558110500267568,11.003,0.441,1.655,7.561,,1.033,0.289,4543.1932181500015,AA,http://byw.tools/wiseview#ra=205.2984671&dec=-30.88147014&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASSI J1315309-264951,J131530.03-264956.22,198.8748383008547,0.07274159544159543,-26.832473948148145,0.0800037037037037,12.749,0.029,12.75,0.029,12.659,0.029,12.825,0.03,37.214,25.1,44.2,180,0.166,-0.001,0.452,0.0020000000000000018,4.479255479775764,0.13844065160834396,28.08714545255565,12.349,0.049,12.35,0.047,12.209,0.042,12.519,0.05,22.526,9.8,29.4,171,0.31,-0.001,0.545,0.01200000000000001,9.474706657234247,0.12103674999241636,0.0870959871053629,11.102,0.44,1.268,7.745,,0.789,0.4,4542.627657860001,AA,http://byw.tools/wiseview#ra=198.8751458&dec=-26.83228433&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
LSPM J1314+1320,J131420.09+131958.08,198.58359479118943,0.026790748898678416,13.332696601762112,0.026843612334801762,8.57,0.016,8.57,0.015,8.524,0.019,8.617,0.016,69.974,52.7,84.1,117,0.093,-0.0,0.505,0.0020000000000000018,10.300056173185439,0.1806718849688646,0.06454997671205545,8.35,0.014,8.351,0.013,8.296,0.024,8.4,0.015,81.138,41.6,99.4,110,0.104,-0.001,0.471,0.0,11.525759211495421,0.2468563577754773,0.06451423864976658,8.147,0.035,31.029,7.501,,0.843,0.22,4367.097842679999,AA,http://byw.tools/wiseview#ra=198.5837&dec=13.3328&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASS J13113921+8032219,J131140.72+803218.94,197.91993217442453,0.0449460358056266,80.53844900102301,0.04516419437340153,11.457,0.021,11.456,0.02,11.404,0.023,11.507,0.02,52.937,38.1,64.4,179,0.103,0.001,0.495,0.0010000000000000009,11.692984756964698,0.13985584331486947,0.06575318412372169,11.248,0.026,11.248,0.025,11.17,0.03,11.314,0.025,42.395,29.5,49.7,212,0.144,-0.0,0.455,0.0050000000000000044,9.775173282019798,0.10311761763852369,0.022055789676158545,11.102,0.379,3.167,7.775,0.519,1.26,0.208,4577.999691429999,AA,http://byw.tools/wiseview#ra=197.9196533&dec=80.53859508&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
Kelu-1,J130539.79-254106.15,196.4157116991837,0.043176122448979594,-25.685077919183673,0.04564142857142857,11.244,0.02,11.244,0.019,11.185,0.027,11.305,0.026,55.493,37.5,68.1,247,0.12,-0.0,0.508,0.0,4.187503380777629,0.11690689119851282,91.8247849928571,10.943,0.024,10.945,0.024,10.854,0.023,11.031,0.026,45.386,30.8,56.3,243,0.177,-0.002,0.486,0.0,3.6391891645392063,0.24683428496686366,186.15844389262287,10.541,0.274,4.523,7.725,0.44,0.994,0.301,4542.266030979998,AA,http://byw.tools/wiseview#ra=196.4157915&dec=-25.68504264&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
VHS J125601.92-125723.9 AB,J125601.86-125724.61,194.0075066665025,0.030783004926108377,-12.957030745812808,0.03162758620689655,9.815,0.017,9.817,0.016,9.77,0.018,9.857,0.018,65.632,42.7,78.4,204,0.087,-0.002,0.46,0.01200000000000001,9.454302195761317,0.10019109024645188,0.04018734842423538,9.591,0.016,9.592,0.016,9.532,0.019,9.647,0.017,67.721,40.7,80.6,202,0.115,-0.001,0.478,0.0,3.8841264282281323,0.15774862154732117,187.13641771277483,9.38,0.093,11.757,7.59,0.395,1.027,0.225,4541.177069830002,AA,http://byw.tools/wiseview#ra=194.0077436&dec=-12.95683526&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASSW J1239272+551537,J123927.56+551537.48,189.86480039353103,0.05118814016172507,55.260351796765505,0.05611805929919138,12.049,0.023,12.048,0.023,11.989,0.026,12.11,0.025,47.291,34.3,54.8,178,0.121,0.001,0.512,0.0,9.311848356688522,0.14332976524459048,1.8215924935915289,11.695,0.032,11.696,0.032,11.607,0.032,11.79,0.037,34.075,23.5,41.4,193,0.183,-0.001,0.514,0.007000000000000006,5.237711026532845,0.11177512600202992,28.156604727132887,10.984,0.33,2.789,7.608,,0.969,0.354,4576.386821649998,AA,http://byw.tools/wiseview#ra=189.8648202&dec=55.26041212&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
DENIS-P J122813.8-154711,J122815.39-154737.46,187.06418445110504,0.05280552486187844,-15.793844726243092,0.05707845303867404,12.02,0.023,12.019,0.023,11.95,0.024,12.089,0.025,46.976,35.3,57.9,182,0.139,0.001,0.504,0.0,4.528308349986241,0.18510507918241276,91.73992922878152,11.708,0.034,11.707,0.033,11.623,0.037,11.815,0.05,32.481,20.6,40.1,180,0.192,0.001,0.562,0.0020000000000000018,11.535154151636547,0.14903663457821276,0.06446455899859069,10.99,0.413,2.467,7.731,,0.967,0.313,4366.82063129,AA,http://byw.tools/wiseview#ra=187.0641093&dec=-15.79374016&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASS J12255432-2739466,J122554.79-273956.20,186.47858499639833,0.16753538135593218,-27.666284772669492,0.18674237288135592,14.679,0.086,14.673,0.084,14.445,0.065,14.942,0.108,12.839,7.3,17.1,242,0.497,0.006,0.541,0.06999999999999995,8.014086017559272,0.07590853152890241,0.1795216709801765,12.756,0.064,12.747,0.063,12.576,0.047,12.907,0.08,17.289,8.9,23.2,230,0.331,0.009,0.483,0.0050000000000000044,10.50123908923351,0.10830278781339865,0.026756064003009814,10.977,0.37,2.488,7.604,0.355,1.187,1.922,4540.779648769996,AA,http://byw.tools/wiseview#ra=186.4782712&dec=-27.66561072&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
WISEPC J121756.91+162640.2,J121757.19+162634.04,184.48862173710938,0.279976171875,16.44228111640625,0.31065781249999996,16.251,0.285,16.28,0.289,15.73,0.178,16.596,0.349,3.932,3.1,6.1,59,0.866,-0.029,0.365,0.0040000000000000036,7.910461472653039,0.36017507245950914,0.07224474192970885,13.113,0.083,13.108,0.08,12.884,0.114,13.317,0.099,13.419,6.4,17.4,197,0.433,0.005,0.483,0.014000000000000012,9.293881960763244,0.10361280028537366,0.29569912825016753,11.155,0.492,1.086,7.655,,0.9,3.139,4366.796016259999,AA,http://byw.tools/wiseview#ra=184.4882878&dec=16.44278755&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASS J12095613-1004008,J120956.39-100405.99,182.4851922637405,0.22815763358778623,-10.068745124427481,0.25495954198473286,14.678,0.087,14.669,0.084,14.416,0.077,14.958,0.138,12.68,7.5,17.2,137,0.542,0.009,0.533,0.0040000000000000036,10.006281929422027,0.163500790601137,0.11164966593178893,13.505,0.12,13.503,0.115,13.147,0.142,13.882,0.175,9.432,3.8,13.0,125,0.735,0.002,0.516,0.0040000000000000036,10.76448693134804,0.17916561601508504,0.14771352785041483,11.187,0.504,1.543,7.642,,0.66,1.173,4364.430101140002,AA,http://byw.tools/wiseview#ra=182.4849547&dec=-10.06833136&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASSW J1207334-393254,J120733.46-393253.88,181.88906512066927,0.04368149606299212,-39.54846098838583,0.04724330708661417,11.567,0.021,11.566,0.02,11.507,0.019,11.635,0.026,52.566,33.8,63.6,253,0.128,0.001,0.539,0.0,16.420077369215335,0.16887046262787975,0.06538308699321865,11.023,0.024,11.021,0.024,10.924,0.025,11.121,0.029,44.958,32.3,54.3,255,0.197,0.002,0.508,0.0,17.31161656880969,0.19845404087328308,0.033031574150561335,9.455,0.089,12.394,7.414,0.318,2.275,0.544,4541.5375552199985,AA,http://byw.tools/wiseview#ra=181.8894&dec=-39.5483&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASSW J1146345+223053,J114634.52+223054.14,176.6438833348624,0.05277247706422018,22.5150531793578,0.057495871559633024,12.023,0.023,12.023,0.023,11.981,0.025,12.082,0.027,47.082,31.7,54.6,109,0.101,-0.0,0.584,0.0020000000000000018,9.68978752743793,0.1997784285580648,0.022672685757278876,11.737,0.034,11.731,0.033,11.65,0.031,11.835,0.037,32.436,23.5,39.2,109,0.185,0.006,0.562,0.0050000000000000044,5.508453112340123,0.20273849575362446,3.992800861825059,10.898,0.401,2.123,7.591,,0.778,0.286,4572.4224535999965,AA,http://byw.tools/wiseview#ra=176.6438487&dec=22.51503839&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASS J11275346+7411076,J112753.37+741107.28,171.97223479525692,0.04411712779973649,74.18525422582346,0.04821251646903821,11.603,0.021,11.605,0.02,11.547,0.026,11.655,0.022,52.624,37.3,62.2,381,0.108,-0.002,0.463,0.0030000000000000027,5.879842807023093,0.067894438792996,15.920079807802017,11.412,0.028,11.411,0.027,11.342,0.028,11.48,0.028,39.198,26.9,47.8,378,0.138,0.001,0.5,0.0,12.041043439706419,0.06936364854518029,0.0692282761728971,10.998,0.325,3.131,7.72,0.463,1.375,0.192,4577.553614070006,AA,http://byw.tools/wiseview#ra=171.9723865&dec=74.18535541&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
LHS 2397a,J112148.68-131309.30,170.4525247075269,0.035545161290322584,-13.21933191892473,0.03695032258064516,10.37,0.018,10.37,0.017,10.324,0.019,10.417,0.019,62.175,40.4,77.5,232,0.093,0.0,0.505,0.0040000000000000036,10.25128493182845,0.09603177020722158,0.053828481323061596,10.125,0.019,10.125,0.018,10.062,0.019,10.19,0.018,58.503,33.9,69.8,233,0.128,0.0,0.508,0.0,3.968743403874933,0.14582636909267563,92.126726557173,9.608,0.107,10.378,7.517,0.352,1.504,0.245,4366.80683881,AA,http://byw.tools/wiseview#ra=170.4528428&dec=-13.21924873&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASS J11193254-1137466,J111932.40-113747.53,169.88487057467103,0.10744769736842107,-11.630118680263159,0.12069473684210524,13.554,0.042,13.552,0.041,13.416,0.038,13.694,0.053,25.899,17.4,31.1,159,0.278,0.002,0.511,0.0020000000000000018,10.422980898423148,0.151801981512475,0.10404115296471027,12.883,0.07,12.881,0.066,12.706,0.07,13.086,0.105,15.996,9.8,21.1,145,0.38,0.002,0.539,0.0030000000000000027,8.255846546321937,0.1476811405194836,0.9866738877815265,11.101,,0.929,7.803,0.414,2.65,0.671,4366.2950664699965,AA,http://byw.tools/wiseview#ra=169.8850084&dec=-11.62987032&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
Gl 417BC,J111225.31+354810.37,168.10536532637363,0.05238351648351648,35.802797684615385,0.05701593406593407,12.01,0.023,12.008,0.023,11.941,0.023,12.111,0.027,47.365,32.8,57.0,117,0.17,0.002,0.606,0.0010000000000000009,10.403172309239524,0.20251090659361096,0.06569261546108737,11.684,0.033,11.683,0.033,11.58,0.03,11.791,0.033,33.089,19.6,41.6,65,0.211,0.001,0.512,0.0,5.903265509721107,0.32840788506152724,3.4342865982886295,11.014,0.39,2.836,7.727,0.442,1.3,0.326,4575.385558679998,BA,http://byw.tools/wiseview#ra=168.1054404&dec=35.80288129&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
